brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color,brand_name_encoded,processor_type_encoded,processor_brand_encoded,generations_encoded,display_type_encoded,color_encoded,storage_type,storage_type_encoded,is_gaming,price_category,Hierarchical,DBSCAN_Original,DBSCAN_UMAP,DBSCAN_PCA
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA<br> Product Id: 33.01.006.1506,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,0,48900,15.6,FHD,Slate Grey,2,1,0,4,3,68,SSD,1,0,0,1,0,1,1
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W<br> Product Id: 33.01.006.1644,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,0,48900,15.6,FHD,Slate Grey,2,1,0,4,3,68,SSD,1,0,0,1,0,1,1
chuwi,Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop<br> Product Id: 33.01.767.22,Intel Core i5,Intel,10th,8,256,True,False,0,49900,12.0,FHD IPS,Grey,4,11,2,0,4,28,SSD,1,0,0,4,1,4,0
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1047,Intel Core i3,Intel,11th,4,1024,False,True,0,52900,15.6,FHD,Arctic Grey,10,10,2,1,3,3,HDD,0,0,0,4,3,1,0
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1092,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53400,15.6,FHD,Cloud Grey,10,1,0,4,3,16,SSD,1,0,0,1,0,1,1
acer,Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.987,Intel Core i3,Intel,13th,8,512,True,False,0,54000,15.6,FHD,Pure Silver,0,10,2,3,3,60,SSD,1,0,0,4,1,2,0
hp,HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop<br> Product Id: 33.01.020.1396,Intel Core i3,Intel,11th,4,1024,False,True,0,55500,15.6,FHD,Jet Black,7,10,2,1,3,36,HDD,0,0,0,4,3,1,0
msi,MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242<br> Product Id: 33.01.033.1258,Intel Core i3,Intel,11th,8,512,True,False,0,56000,14.0,FHD,Classic Black,12,10,2,1,3,15,SSD,1,0,0,4,1,5,0
dell,"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop<br> Product Id: 33.01.013.1669",AMD Ryzen 3,AMD,Not Applicable,8,256,True,False,0,56000,15.6,FHD,Carbon Black,5,1,0,4,3,11,SSD,1,0,0,1,0,1,1
hp,HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop<br> Product Id: 33.01.020.1486,Intel Core i3,Intel,11th,4,1024,False,True,0,56500,15.6,FHD,Ash Silver,7,10,2,1,3,5,HDD,0,0,0,4,3,1,0
