brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
chuwi,Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop<br> Product Id: 33.01.767.18,Intel Core N100,Intel,12th,8,256,True,False,-1,35900,15.6,FHD,Grey
lenovo,Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop<br> Product Id: 33.01.200.963,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,36000,15.6,HD,Platinum Grey
asus,Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop (Carry bag not included)<br> Product Id: 33.01.006.1599,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,37500,15.6,HD,Slate Grey
hp,HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop<br> Product Id: 33.01.020.1485,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,38500,15.6,FHD,Dark Ash Silver
asus,Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1617,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,39500,14.0,FHD,Slate Grey
asus,Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA<br> Product Id: 33.01.006.1487,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,40500,15.6,FHD,Transparent Silver
asus,Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop<br> Product Id: 33.01.006.1619,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,40500,15.6,FHD,Transparent Silver
asus,Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1618,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,40500,15.6,FHD,Slate Grey
asus,Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1434,Intel Celeron,Intel,Not Applicable,4,1024,False,True,-1,43500,15.6,FHD,Slate Grey
asus,Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop<br> Product Id: 33.01.006.1554,Intel Celeron,Intel,Not Applicable,4,256,True,False,-1,44000,14.0,HD,Blue
acer,Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop<br> Product Id: 33.01.002.958,Intel Core i3,Intel,11th,4,1024,False,True,-1,46500,15.6,FHD,Charcoal Black
asus,Asus D415DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 14 Inch HD Display Slate Grey Laptop<br> Product Id: 33.01.006.1600,AMD Ryzen 3,AMD,Not Applicable,4,1024,False,True,-1,46500,14.0,HD,Slate Grey
asus,Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop<br> Product Id: 33.01.006.1620,AMD Ryzen 3,AMD,Not Applicable,4,1024,False,True,-1,46500,15.6,HD,Slate Grey
